Unique Key,Created Date,Borough,Zip,City,Complaint Type
35137490,2017-01-01 01:10:30,BRONX,10463,BRONX,Noise - Residential
35145061,2017-01-01 01:10:44,MANHATTAN,10034,NEW YORK,HEAT/HOT WATER
35138405,2017-01-01 01:11:13,BRONX,10472,BRONX,Noise - Residential
35137427,2017-01-01 01:11:14,MANHATTAN,10019,NEW YORK,Noise - Commercial
35141790,2017-01-01 01:11:16,QUEENS,11385,RIDGEWOOD,Blocked Driveway
35141992,2017-01-01 01:11:25,QUEENS,11106,ASTORIA,Illegal Parking
35143703,2017-01-01 01:11:47,BRONX,10468,BRONX,Noise - Residential
35142570,2017-01-01 01:11:48,STATEN ISLAND,10314,STATEN ISLAND,Noise - Residential
35139580,2017-01-01 01:11:51,QUEENS,11415,KEW GARDENS,Noise - Residential
35139244,2017-01-01 01:11:57,QUEENS,11377,WOODSIDE,Noise - Residential
35143475,2017-01-01 01:12:00,QUEENS,11370,EAST ELMHURST,Blocked Driveway
35140210,2017-01-01 01:12:19,QUEENS,11103,ASTORIA,Noise - Residential
35142221,2017-01-01 01:12:28,BRONX,10453,BRONX,Noise - Residential
35141101,2017-01-01 01:12:30,QUEENS,11104,SUNNYSIDE,Noise - Residential
35141944,2017-01-01 01:12:34,QUEENS,11435,JAMAICA,Noise - Residential
35137568,2017-01-01 01:12:41,BRONX,10457,BRONX,Illegal Parking
35147203,2017-01-01 01:12:45,BRONX,10468,BRONX,HEAT/HOT WATER
35145380,2017-01-01 01:13:00,QUEENS,11434,Jamaica,Derelict Vehicles
35143453,2017-01-01 01:13:03,MANHATTAN,10040,NEW YORK,Noise - Street/Sidewalk
35141431,2017-01-01 01:13:05,MANHATTAN,10003,NEW YORK,Noise - Commercial
35137591,2017-01-01 01:13:17,QUEENS,11385,RIDGEWOOD,Noise - Residential
35139240,2017-01-01 01:14:07,BROOKLYN,11226,BROOKLYN,Noise - Residential
35138075,2017-01-01 01:14:30,MANHATTAN,10016,NEW YORK,Noise - Commercial
35140945,2017-01-01 01:14:37,MANHATTAN,10024,NEW YORK,Noise - Residential
35141172,2017-01-01 01:14:42,MANHATTAN,10040,NEW YORK,Noise - Street/Sidewalk
35140114,2017-01-01 01:15:16,MANHATTAN,10032,NEW YORK,Noise - Street/Sidewalk
35142828,2017-01-01 01:15:24,MANHATTAN,10025,NEW YORK,Noise - Residential
35143499,2017-01-01 01:15:33,MANHATTAN,10025,NEW YORK,Noise - Commercial
35142819,2017-01-01 01:15:39,MANHATTAN,10040,NEW YORK,Taxi Report
35143689,2017-01-01 01:16:52,STATEN ISLAND,10310,STATEN ISLAND,Blocked Driveway
35146581,2017-01-01 01:17:00,QUEENS,11426,Bellerose,Water System
35143511,2017-01-01 01:17:06,QUEENS,11355,FLUSHING,Noise - Residential
35138428,2017-01-01 01:17:17,BROOKLYN,11225,BROOKLYN,Noise - Residential
35142229,2017-01-01 01:17:22,BROOKLYN,11226,BROOKLYN,Noise - Residential
35143647,2017-01-01 01:17:33,BROOKLYN,11213,BROOKLYN,Noise - Residential
35137819,2017-01-01 01:17:47,MANHATTAN,10031,NEW YORK,Illegal Parking
35137625,2017-01-01 01:17:49,BRONX,10459,BRONX,Noise - Residential
35140211,2017-01-01 01:18:02,MANHATTAN,10019,NEW YORK,Noise - Residential
35137529,2017-01-01 01:18:41,BRONX,10467,BRONX,Noise - Residential
35140116,2017-01-01 01:18:48,BRONX,10459,BRONX,Noise - Residential
35137223,2017-01-01 01:18:57,BROOKLYN,11211,BROOKLYN,Blocked Driveway
35143673,2017-01-01 01:19:35,QUEENS,11368,CORONA,Blocked Driveway
35143591,2017-01-01 01:19:57,BRONX,10457,BRONX,Noise - Residential
35137499,2017-01-01 01:19:58,BRONX,10472,BRONX,Smoking
35140024,2017-01-01 01:20:10,BROOKLYN,11213,BROOKLYN,Noise - Residential
35140962,2017-01-01 01:20:10,BROOKLYN,11211,BROOKLYN,Noise - Commercial
35141778,2017-01-01 01:20:16,MANHATTAN,10030,NEW YORK,Noise - Residential
35140202,2017-01-01 01:20:18,MANHATTAN,10019,NEW YORK,Noise - Residential
35138323,2017-01-01 01:20:29,STATEN ISLAND,10314,STATEN ISLAND,Blocked Driveway
35139267,2017-01-01 01:20:35,QUEENS,11416,OZONE PARK,Noise - Residential
35143688,2017-01-01 01:20:36,BROOKLYN,11222,BROOKLYN,Noise - Residential
35137000,2017-01-01 01:20:49,BROOKLYN,11232,BROOKLYN,Noise - Residential
35140027,2017-01-01 01:20:54,MANHATTAN,10032,NEW YORK,Noise - Residential
35147467,2017-01-01 01:21:00,QUEENS,11436,Jamaica,Derelict Vehicles
35147670,2017-01-01 01:21:00,MANHATTAN,10025,NEW YORK,Noise
35139569,2017-01-01 01:21:06,BROOKLYN,11237,BROOKLYN,Noise - Residential
35138319,2017-01-01 01:21:36,MANHATTAN,10019,NEW YORK,Consumer Complaint
35141752,2017-01-01 01:21:55,MANHATTAN,10009,NEW YORK,Noise - Residential
35138311,2017-01-01 01:22:00,QUEENS,11104,SUNNYSIDE,Noise - Residential
35138709,2017-01-01 01:22:23,QUEENS,11370,EAST ELMHURST,Blocked Driveway
35138112,2017-01-01 01:22:34,BROOKLYN,11215,BROOKLYN,Noise - Residential
35143497,2017-01-01 01:22:42,MANHATTAN,10032,NEW YORK,Illegal Parking
35138560,2017-01-01 01:22:53,BRONX,10472,BRONX,Noise - Street/Sidewalk
35138517,2017-01-01 01:23:20,MANHATTAN,10030,NEW YORK,Noise - Residential
35140189,2017-01-01 01:23:21,MANHATTAN,10032,NEW YORK,Illegal Parking
35142815,2017-01-01 01:23:34,QUEENS,11101,LONG ISLAND CITY,Illegal Parking
35143484,2017-01-01 01:23:36,BRONX,10473,BRONX,Noise - Residential
35145968,2017-01-01 01:23:36,BRONX,10456,BRONX,WATER LEAK
35140212,2017-01-01 01:23:41,QUEENS,11102,ASTORIA,Noise - Residential
35142816,2017-01-01 01:23:52,BROOKLYN,11237,BROOKLYN,Noise - Residential
35139368,2017-01-01 01:24:08,MANHATTAN,10032,NEW YORK,Illegal Parking
35142820,2017-01-01 01:24:39,BROOKLYN,11234,BROOKLYN,Noise - Residential
35143681,2017-01-01 01:24:49,MANHATTAN,10030,NEW YORK,Noise - Residential
35136940,2017-01-01 01:25:24,MANHATTAN,10010,NEW YORK,Noise - Residential
35141718,2017-01-01 01:25:33,QUEENS,11691,FAR ROCKAWAY,Noise - Street/Sidewalk
35140190,2017-01-01 01:25:58,BROOKLYN,11212,BROOKLYN,Noise - Residential
35139423,2017-01-01 01:26:03,BRONX,10453,BRONX,Noise - Residential
35139269,2017-01-01 01:26:07,BRONX,10453,BRONX,Blocked Driveway
35137518,2017-01-01 01:26:20,MANHATTAN,10016,NEW YORK,Noise - Residential
35139369,2017-01-01 01:26:45,BROOKLYN,11218,BROOKLYN,Taxi Complaint
35141887,2017-01-01 01:27:21,MANHATTAN,10029,NEW YORK,Noise - Residential
35142610,2017-01-01 01:27:53,BRONX,10457,BRONX,Noise - Residential
35142003,2017-01-01 01:27:59,BROOKLYN,11238,BROOKLYN,Noise - Residential
35138732,2017-01-01 01:28:13,MANHATTAN,10016,NEW YORK,Noise - Commercial
35141306,2017-01-01 01:28:44,BRONX,10466,BRONX,Noise - Residential
35148047,2017-01-01 01:29:00,MANHATTAN,10036,NEW YORK,Noise
35136951,2017-01-01 01:29:09,MANHATTAN,10128,NEW YORK,Noise - Residential
35142181,2017-01-01 01:29:18,BROOKLYN,11216,BROOKLYN,Noise - Street/Sidewalk
